source	conversation_id	title	date_created	date_updated	path	relevance_score	matched_keywords	likely_subsystem	extraction_priority	privacy_note
openai	69b4d658-8874-8333-aa87-4ac20502409c	UX/UI Strategy Separation	2026-03-14	2026-03-15	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69b4d658-8874-8333-aa87-4ac20502409c	129	[ i ];attention wallet;eye tracking;remote control;earn;rewards;wallet;media marketplace;fuzzy:remote control	Economy	P0	ok for structured extraction
openai	69edaab5-6658-83ea-b5be-e16620c253b2	vCoin Development Guide	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edaab5-6658-83ea-b5be-e16620c253b2	109	[ i ];alphabet currency;vCoin;campaign;rewards;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69b4e936-c654-8332-9ba2-b7a4a8ee7a25	App Redesign Strategy	2026-03-14	2026-03-14	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69b4e936-c654-8332-9ba2-b7a4a8ee7a25	107	[ i ];attention wallet;earn;rewards;wallet;media marketplace;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
openai	69eda026-4a58-83ea-a523-b6f592ae7329	aCoin Specification	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda026-4a58-83ea-a523-b6f592ae7329	105	[ i ];alphabet currency;aCoin;wallet;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edaceb-215c-83ea-bc85-7dd1621c43d5	iCoin Development Strategy	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edaceb-215c-83ea-bc85-7dd1621c43d5	93	[ i ];alphabet currency;iCoin;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda1c3-eeb8-83ea-b0e6-064717192f5e	uCoin Detailed Design	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda1c3-eeb8-83ea-b0e6-064717192f5e	93	[ i ];alphabet currency;uCoin;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69ed9f55-b784-83ea-a89c-672fec5b8002	Alphabet Currency System	2026-04-26	2026-04-28	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69ed9f55-b784-83ea-a89c-672fec5b8002	87	[ i ];alphabet currency;wallet;fraud;trust;Cursor;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69ac899e-f9b4-832b-bd98-e01453a90e63	Eye Tracking Explained	2026-03-07	2026-03-07	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69ac899e-f9b4-832b-bd98-e01453a90e63	86	i app;eye tracking;remote control;fuzzy:i app;fuzzy:eye tracking;fuzzy:remote control;fuzzy:i-product	Eye Tracking	P0	ok for structured extraction
openai	69edacd9-25f4-83ea-99fb-4b2d0f0f6909	eCoin Development Blueprint	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edacd9-25f4-83ea-99fb-4b2d0f0f6909	85	[ i ];alphabet currency;eCoin;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edab01-0480-83ea-b184-b4f362bab71b	wCoin Development Framework	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edab01-0480-83ea-b184-b4f362bab71b	85	[ i ];alphabet currency;campaign;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	67fc36ec-599c-8008-8c1f-c7058c571483	i App Development Roadmap	2025-04-13	2026-04-23	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#67fc36ec-599c-8008-8c1f-c7058c571483	84	i app;eye tracking;rewards;wallet;MVP;fuzzy:i app;fuzzy:i-product	Economy	P0	ok for structured extraction
openai	699979ee-0088-832b-af86-a1249c2016e4	Eye-Tracking and Facial Control	2026-02-21	2026-02-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#699979ee-0088-832b-af86-a1249c2016e4	77	[ i ];eye tracking;gaze;rewards;validation;verification	Economy	P0	ok for structured extraction
openai	69eda334-7698-83ea-a910-d93850d33f8b	gCoin Development Guide	2026-04-26	2026-05-01	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda334-7698-83ea-a910-d93850d33f8b	77	[ i ];alphabet currency;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edac91-77b4-83ea-a3a0-c81c2c00071f	kCoin Development Guide	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edac91-77b4-83ea-a3a0-c81c2c00071f	77	[ i ];alphabet currency;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda4f5-a470-83ea-89d5-c7d9d2e759c5	lCoin Development Plan	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda4f5-a470-83ea-89d5-c7d9d2e759c5	77	[ i ];alphabet currency;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda5da-cca0-83ea-8a38-ed74c4649c15	lCoin Learning Specification	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda5da-cca0-83ea-8a38-ed74c4649c15	77	[ i ];alphabet currency;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda630-89c4-83ea-8c60-8be16d818827	mCoin Mastery Definition	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda630-89c4-83ea-8c60-8be16d818827	77	[ i ];alphabet currency;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda7d8-50c0-83ea-be07-8ebb9b48cead	pCoin Development Overview	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda7d8-50c0-83ea-be07-8ebb9b48cead	77	[ i ];alphabet currency;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edaaa0-c3b0-83ea-9cb0-3165e02e261d	tCoin Trust Development	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edaaa0-c3b0-83ea-9cb0-3165e02e261d	77	[ i ];alphabet currency;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edab9e-3dec-83ea-9f31-46a19b519f89	zCoin Development Strategy	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edab9e-3dec-83ea-9f31-46a19b519f89	77	[ i ];alphabet currency;fraud;trust;verification;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edabf0-dbc8-83ea-8455-0006cae62591	bCoin Belonging System	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edabf0-dbc8-83ea-8455-0006cae62591	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
