batch_id	rank	source	conversation_id	title	score	subsystem	extraction_file	status	chars_extracted	messages	key_conflicts	canonical_candidates_count	follow_up_targets
P0_BATCH_03	21	openai	69b4e936-c654-8332-9ba2-b7a4a8ee7a25	App Redesign Strategy	107	UX	021_app_redesign_strategy.md	complete	29000	2	duplicate of 014; Vicoin/Icoin naming	0	deduplicate The Solution provenance
P0_BATCH_03	22	claude	75855403-6c31-4cb6-b7ca-a39b2a737af3	Creating custom skills with documentation	105	Dev Workflow	022_custom_skills_documentation.md	complete	27000	6	process only; economy via MD refs	2	locate packaged .skill files; read i-app-economy-rules.md
P0_BATCH_03	23	openai	69eda026-4a58-83ea-a523-b6f592ae7329	aCoin Specification	105	Economy	023_acoin_specification.md	complete	216000	29	a→r→i pipeline; rCoin hub vs 028 Reputation	4	reconcile rCoin with 028; read economy-rules MD
P0_BATCH_03	24	claude	6cf0db82-7250-41bd-afdd-89d27b0bde93	App walkthrough video demonstration	105	Demo	024_app_walkthrough_video_demo.md	complete	12000	2	8-screen vs 4-tab IA; i/v only display	2	locate i-app-walkthrough.html
P0_BATCH_03	25	openai	69edaceb-215c-83ea-bc85-7dd1621c43d5	iCoin Development Strategy	105	Economy	025_icoin_development_strategy.md	complete	206000	29	I=Identity vs SoT cash-value; vs chat Icoins	4	owner letter semantics lock
P0_BATCH_03	26	openai	69eda1c3-eeb8-83ea-b0e6-064717192f5e	uCoin Detailed Design	105	Economy	026_ucoin_detailed_design.md	complete	209000	29	uCoin User Value vs 007 ucoins≈Vicoins	3	resolve uCoin vs Vicoin mapping
P0_BATCH_03	27	claude	85295173-080e-47c1-acfd-c598c4735222	Remote control development	105	Attention	027_remote_control_development.md	complete	29000	8	Claude Code vs product remote; MediaPipe vs TF.js	2	unify verification stack with 017
P0_BATCH_03	28	openai	69ed9f55-b784-83ea-a89c-672fec5b8002	Alphabet Currency System	105	Economy	028_alphabet_currency_system.md	complete	4500000	219	A–Z vs 5-coin; rCoin Reputation vs hub; i/v semantics	5	extract B–Z letters; map Supabase schema
P0_BATCH_03	29	claude	06c1b1a8-152d-4b5e-a319-8060bbf37d0b	Alpha currency engagement tracking system	105	Economy	029_alpha_currency_engagement_tracking.md	complete	44000	2	meta-summary only; streak obsolete	0	map conv 729 ID to 015
P0_BATCH_03	30	claude	bc45f099-2841-45e1-87f0-b81cc3b95bfb	Building a functional investor demo with core features	105	Demo	030_functional_investor_demo_core_features.md	complete	13000	4	5-screen demo vs 4-tab IA; glassmorphism vs soft depth	3	verify iappdemomarcelo.vercel.app
