path	name	extension	size_bytes	modified	likely_source	subsystem	classification	viability	priority	notes
/Users/2023macbookpro/Desktop/IVAULT/.DS_Store	.DS_Store	(none)	28676	2026-05-21 12:50:57	IVAULT archive	unknown	Unknown	Usable After Review	low	
/Users/2023macbookpro/Desktop/IVAULT/APP LAYOUT/i-app.html	i-app.html	.html	23457	2026-04-07 13:14:25	IVAULT archive	design_asset	Prototype	Usable After Review	medium	
/Users/2023macbookpro/Desktop/IVAULT/APP LAYOUT/i_app_ux_structure  .html	i_app_ux_structure  .html	.html	26803	2026-04-07 10:48:45	IVAULT archive	design_asset	Prototype	Usable After Review	medium	
/Users/2023macbookpro/Desktop/IVAULT/APP LAYOUT/i_app_ux_structure.html	i_app_ux_structure.html	.html	26803	2026-04-07 10:22:49	IVAULT archive	design_asset	Prototype	Usable After Review	medium	
/Users/2023macbookpro/Desktop/IVAULT/APP LAYOUT/iapp_pay_screen.html	iapp_pay_screen.html	.html	20039	2026-04-11 15:17:48	IVAULT archive	design_asset	Prototype	Usable After Review	medium	
/Users/2023macbookpro/Desktop/IVAULT/AUDITS/i_app_full_audit.html	i_app_full_audit.html	.html	11623	2026-04-11 12:47:36	IVAULT archive	prototype	Prototype	Usable After Review	medium	
/Users/2023macbookpro/Desktop/IVAULT/AUDITS/FULL_AUDIT_REPORT_20260306_171244.md	FULL_AUDIT_REPORT_20260306_171244.md	.md	708	2026-03-06 17:14:13	IVAULT archive	repo	Unknown	Usable After Review	low	
/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/.DS_Store	.DS_Store	(none)	8196	2026-05-21 11:12:41	OpenAI export	openai_export	Unknown	Usable After Review	low	
/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/file_0000000047dc71f8bc35554cbf4d4600.dat	file_0000000047dc71f8bc35554cbf4d4600.dat	.dat	628807	2026-05-20 04:15:38	OpenAI export	openai_export	Unknown	Usable After Review	low	
/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/file_00000000f85071f88906bfbfd705dad0.dat	file_00000000f85071f88906bfbfd705dad0.dat	.dat	4878	2026-05-20 04:15:50	OpenAI export	openai_export	Unknown	Usable After Review	low	
