source	conversation_id	title	date_created	date_updated	path	relevance_score	matched_keywords	likely_subsystem	extraction_priority	privacy_note
claude	f7ba2d60-acf4-45c2-850a-5ff8b29eb064	Complete app feature breakdown and specifications	2026-03-21	2026-03-23	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#f7ba2d60-acf4-45c2-850a-5ff8b29eb064	237	[ i ];i app;attention wallet;eye tracking;gaze;remote control;campaign;investor;demo;earn;rewards;wallet;trust;verification;iapp;media marketplace;Cursor;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	92aa5e9e-5852-4056-873f-2955dfd2651f	Building investor demo screens	2026-04-08	2026-04-09	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#92aa5e9e-5852-4056-873f-2955dfd2651f	201	[ i ];i app;attention economy;eye tracking;gaze;creator economy;investor;demo;earn;rewards;wallet;fraud;trust;verification;fuzzy:i app;fuzzy:investor demo	Economy	P0	ok for structured extraction
claude	ada911f5-d2c0-4aa9-8c7f-25f660c73b0b	Camera-based gaze tracking with attention scoring	2026-04-09	2026-04-10	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#ada911f5-d2c0-4aa9-8c7f-25f660c73b0b	181	[ i ];attention wallet;eye tracking;gaze;campaign;investor;demo;earn;wallet;trust;verification;media marketplace;fuzzy:attention wallet;fuzzy:investor demo;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	80be7e6b-edf4-4960-9036-9890328056e0	Multi-platform format pros and cons	2026-03-29	2026-04-07	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#80be7e6b-edf4-4960-9036-9890328056e0	175	[ i ];attention wallet;attention economy;eye tracking;advertiser;pitch;earn;rewards;wallet;trust;verification;media marketplace;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	657f7995-bf8a-4ebd-8d9a-f95c1a0acbff	Continuing a previous conversation	2026-04-09	2026-04-09	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#657f7995-bf8a-4ebd-8d9a-f95c1a0acbff	173	[ i ];attention wallet;eye tracking;investor;demo;earn;wallet;trust;verification;masterplan;media marketplace;fuzzy:attention wallet;fuzzy:investor demo;fuzzy:media marketplace	Source of Truth	P0	ok for structured extraction
claude	ee00baba-61d4-4c11-83f4-42f1b8bb99a8	Vite React TypeScript Tailwind project shell	2026-04-10	2026-04-10	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#ee00baba-61d4-4c11-83f4-42f1b8bb99a8	169	[ i ];attention wallet;eye tracking;gaze;remote control;investor;demo;earn;wallet;verification;media marketplace;Cursor;fuzzy:investor demo	Economy	P0	ok for structured extraction
claude	8c47af33-8c6a-49fd-b2af-08dfbb599bfa	Expanding iapp currency ecosystem with alphabetic coin types	2026-03-21	2026-05-12	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#8c47af33-8c6a-49fd-b2af-08dfbb599bfa	159	[ i ];i app;attention wallet;earn;rewards;wallet;trust;verification;iapp;media marketplace;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	dca5ea92-3421-4610-aea6-2e377315ab70	Continuing development with mockup assets	2026-04-10	2026-04-10	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#dca5ea92-3421-4610-aea6-2e377315ab70	157	[ i ];i app;attention wallet;investor;demo;wallet;verification;iapp;media marketplace;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	660aefa0-4a8e-48c9-a6a6-43a87c816d9f	Attention wallet and media marketplace product brief	2026-03-14	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#660aefa0-4a8e-48c9-a6a6-43a87c816d9f	147	[ i ];attention wallet;eye tracking;earn;rewards;wallet;trust;verification;media marketplace;MVP;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	85d7df7a-0431-4015-89a0-853cb7ee6088	Dual-model AI workflow for app development	2026-04-10	2026-04-10	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#85d7df7a-0431-4015-89a0-853cb7ee6088	141	[ i ];attention economy;eye tracking;gaze;investor;demo;earn;rewards;wallet;verification;Lovable;Cursor	Economy	P0	ok for structured extraction
